mRNA,GO,Term,Annotated,Significant,Expected,Fisher,ontology,sig.prop,Month
evm.TU.chromosome_3.371,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Cellular Components,0.14,February
evm.TU.chromosome_3.371,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Cellular Components,0.07692307692,February
evm.TU.chromosome_3.371,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Cellular Components,0.14,February
evm.TU.chromosome_3.372,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Cellular Components,0.14,February
evm.TU.chromosome_3.1884,GO:0001501,skeletal system development,565,13,8.65,0.00039,Cellular Components,0.02300884956,February
evm.TU.chromosome_3.1313,GO:0071420,cellular response to histamine,30,3,0.46,0.01062,Cellular Components,0.1,February
evm.TU.chromosome_3.523,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_3.644,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Cellular Components,0.09523809524,February
evm.TU.chromosome_3.644,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_3.472,GO:0030261,chromosome condensation,37,4,0.57,0.00239,Cellular Components,0.1081081081,February
evm.TU.chromosome_3.472.1.5f15dc4c,GO:0030261,chromosome condensation,37,4,0.57,0.00239,Cellular Components,0.1081081081,February
evm.TU.chromosome_3.1808,GO:0071732,cellular response to nitric oxide,14,2,0.21,0.01883,Cellular Components,0.1428571429,February
evm.TU.chromosome_3.1068.1.5f15dd8f,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_3.1068,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_3.1694,GO:0001501,skeletal system development,565,13,8.65,0.00039,Cellular Components,0.02300884956,February
evm.TU.chromosome_3.1251,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_3.1251,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Cellular Components,0.1219512195,February
evm.TU.chromosome_3.1718,GO:0001568,blood vessel development,585,12,8.96,0.01126,Cellular Components,0.02051282051,February
evm.TU.chromosome_3.1718,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_3.1596,GO:0030514,negative regulation of BMP signaling pathway,51,4,0.78,0.00764,Cellular Components,0.07843137255,February
evm.TU.chromosome_3.845,GO:0044179,hemolysis in another organism,10,2,0.15,0.00969,Cellular Components,0.2,February
evm.TU.chromosome_3.1071,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Cellular Components,0.05633802817,February
evm.TU.chromosome_3.1132,GO:0030514,negative regulation of BMP signaling pathway,51,4,0.78,0.00764,Cellular Components,0.07843137255,February
evm.TU.chromosome_3.309,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Cellular Components,0.07692307692,February
evm.TU.chromosome_3.309,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Cellular Components,0.14,February
evm.TU.chromosome_3.308,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Cellular Components,0.07692307692,February
evm.TU.chromosome_3.308,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Cellular Components,0.14,February
evm.TU.chromosome_3.308,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Cellular Components,0.07692307692,February
evm.TU.chromosome_3.308,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Cellular Components,0.14,February
evm.TU.chromosome_4.2051,GO:0061077,chaperone-mediated protein folding,41,3,0.63,0.02467,Cellular Components,0.07317073171,February
evm.TU.chromosome_4.2051,GO:0061077,chaperone-mediated protein folding,41,3,0.63,0.02467,Cellular Components,0.07317073171,February
evm.TU.chromosome_4.2051.1.5f15e662,GO:0061077,chaperone-mediated protein folding,41,3,0.63,0.02467,Cellular Components,0.07317073171,February
evm.TU.chromosome_4.1883,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.1578,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Cellular Components,0.02486187845,February
evm.TU.chromosome_4.765,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Cellular Components,0.08108108108,February
evm.TU.chromosome_4.765,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Cellular Components,0.08108108108,February
evm.TU.chromosome_4.766,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Cellular Components,0.08108108108,February
evm.TU.chromosome_4.766,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Cellular Components,0.08108108108,February
evm.TU.chromosome_4.1809,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Cellular Components,0.0310880829,February
evm.TU.chromosome_4.2393,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Cellular Components,0.1219512195,February
evm.TU.chromosome_4.2291,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.2291,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Cellular Components,0.05633802817,February
evm.TU.chromosome_4.159,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Cellular Components,0.05263157895,February
evm.TU.chromosome_4.158,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Cellular Components,0.05263157895,February
evm.TU.chromosome_4.153,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Cellular Components,0.05263157895,February
evm.TU.chromosome_4.226,GO:0044179,hemolysis in another organism,10,2,0.15,0.00969,Cellular Components,0.2,February
evm.TU.chromosome_4.387,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Cellular Components,0.01502145923,February
evm.TU.chromosome_4.387,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Cellular Components,0.05263157895,February
evm.TU.chromosome_4.1266,GO:0042632,cholesterol homeostasis,31,3,0.47,0.01163,Cellular Components,0.09677419355,February
evm.TU.chromosome_4.2027,GO:0001501,skeletal system development,565,13,8.65,0.00039,Cellular Components,0.02300884956,February
evm.TU.chromosome_4.2024,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Cellular Components,0.01502145923,February
evm.TU.chromosome_4.1707,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.1548,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Cellular Components,0.05263157895,February
evm.TU.chromosome_4.562,GO:0001568,blood vessel development,585,12,8.96,0.01126,Cellular Components,0.02051282051,February
evm.TU.chromosome_4.560,GO:0001501,skeletal system development,565,13,8.65,0.00039,Cellular Components,0.02300884956,February
evm.TU.chromosome_4.2340,GO:0001568,blood vessel development,585,12,8.96,0.01126,Cellular Components,0.02051282051,February
evm.TU.chromosome_4.881,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Cellular Components,0.02486187845,February
evm.TU.chromosome_4.882,GO:0035148,tube formation,296,8,4.53,0.00608,Cellular Components,0.02702702703,February
evm.TU.chromosome_4.715,GO:0097067,cellular response to thyroid hormone stimulus,18,5,0.28,5.90E-06,Cellular Components,0.2777777778,February
evm.TU.chromosome_4.1469,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Cellular Components,0.01502145923,February
evm.TU.chromosome_4.2274_evm.TU.chromosome_4.2279,GO:0033619,membrane protein proteolysis,117,5,1.79,0.01264,Cellular Components,0.04273504274,February
evm.TU.chromosome_4.1254.1.5f15e49f,GO:0061077,chaperone-mediated protein folding,41,3,0.63,0.02467,Cellular Components,0.07317073171,February
evm.TU.chromosome_4.1254,GO:0061077,chaperone-mediated protein folding,41,3,0.63,0.02467,Cellular Components,0.07317073171,February
evm.TU.chromosome_4.1443,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Cellular Components,0.01502145923,February
evm.TU.chromosome_4.1443,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Cellular Components,0.01502145923,February
evm.TU.chromosome_4.2000,GO:0001568,blood vessel development,585,12,8.96,0.01126,Cellular Components,0.02051282051,February
evm.TU.chromosome_4.2000,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.2000,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Cellular Components,0.05633802817,February
evm.TU.chromosome_4.2000,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Cellular Components,0.0310880829,February
evm.TU.chromosome_4.1138,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.2277,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.2277,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Cellular Components,0.05633802817,February
evm.TU.chromosome_4.462,GO:0033344,cholesterol efflux,37,3,0.57,0.0188,Cellular Components,0.08108108108,February
evm.TU.chromosome_4.2040,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Cellular Components,0.03086419753,February
evm.TU.chromosome_4.2040,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Cellular Components,0.03086419753,February
evm.TU.chromosome_4.2041,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Cellular Components,0.03086419753,February
evm.TU.chromosome_4.2041,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Cellular Components,0.03086419753,February
evm.TU.chromosome_4.582,GO:0070208,protein heterotrimerization,44,4,0.67,0.00451,Cellular Components,0.09090909091,February
evm.TU.chromosome_4.1477,GO:0033619,membrane protein proteolysis,117,5,1.79,0.01264,Cellular Components,0.04273504274,February
evm.TU.chromosome_4.2169,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.2169,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Cellular Components,0.1219512195,February
evm.TU.chromosome_4.2168,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.2168,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Cellular Components,0.1219512195,February
evm.TU.chromosome_4.2167,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.2167,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Cellular Components,0.1219512195,February
evm.TU.chromosome_4.2164,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.2164,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Cellular Components,0.1219512195,February
evm.TU.chromosome_4.2163,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.2163,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Cellular Components,0.1219512195,February
evm.TU.chromosome_4.2162,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.2162,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Cellular Components,0.1219512195,February
evm.TU.chromosome_4.1603,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.2289,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.2280,GO:0001568,blood vessel development,585,12,8.96,0.01126,Cellular Components,0.02051282051,February
evm.TU.chromosome_4.2281,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.2281,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Cellular Components,0.05633802817,February
evm.TU.chromosome_4.2284,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.2284,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Cellular Components,0.05633802817,February
evm.TU.chromosome_4.603,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Cellular Components,0.09523809524,February
evm.TU.chromosome_4.603,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.602,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Cellular Components,0.09523809524,February
evm.TU.chromosome_4.602,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.546,GO:0010634,positive regulation of epithelial cell migration,53,4,0.81,0.00874,Cellular Components,0.07547169811,February
evm.TU.chromosome_4.546,GO:0010718,positive regulation of epithelial to mesenchymal tr...,50,4,0.77,0.00713,Cellular Components,0.08,February
evm.TU.chromosome_4.546,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.1433,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.2357,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Cellular Components,0.0310880829,February
evm.TU.chromosome_4.2111,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.2111,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.1935,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Cellular Components,0.02650176678,February
evm.TU.chromosome_4.1935,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Cellular Components,0.02650176678,February
evm.TU.chromosome_4.1318,GO:0071230,cellular response to amino acid stimulus,77,6,1.18,0.00116,Cellular Components,0.07792207792,February
evm.TU.chromosome_4.1318,GO:0042632,cholesterol homeostasis,31,3,0.47,0.01163,Cellular Components,0.09677419355,February
evm.TU.chromosome_4.1318,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Cellular Components,0.05633802817,February
evm.TU.chromosome_4.1313,GO:0000711,meiotic DNA repair synthesis,2,1,0.03,0.03039,Cellular Components,0.5,February
evm.TU.chromosome_4.1313,GO:0000711,meiotic DNA repair synthesis,2,1,0.03,0.03039,Cellular Components,0.5,February
evm.TU.chromosome_4.2502,GO:0001501,skeletal system development,565,13,8.65,0.00039,Cellular Components,0.02300884956,February
evm.TU.chromosome_4.2502,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Cellular Components,0.0310880829,February
evm.TU.chromosome_4.2141,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Cellular Components,0.02486187845,February
evm.TU.chromosome_4.2140,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Cellular Components,0.02486187845,February
evm.TU.chromosome_4.2268,GO:0031036,myosin II filament assembly,3,2,0.05,0.00069,Cellular Components,0.6666666667,February
evm.TU.chromosome_4.495,GO:0033619,membrane protein proteolysis,117,5,1.79,0.01264,Cellular Components,0.04273504274,February
evm.TU.chromosome_4.491,GO:0001501,skeletal system development,565,13,8.65,0.00039,Cellular Components,0.02300884956,February
evm.TU.chromosome_4.3,GO:0001501,skeletal system development,565,13,8.65,0.00039,Cellular Components,0.02300884956,February
evm.TU.chromosome_4.1906,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.2039,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Cellular Components,0.03086419753,February
evm.TU.chromosome_4.2039,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Cellular Components,0.03086419753,February
evm.TU.chromosome_4.594,GO:0070208,protein heterotrimerization,44,4,0.67,0.00451,Cellular Components,0.09090909091,February
evm.TU.chromosome_4.594.1.5f15e320,GO:0070208,protein heterotrimerization,44,4,0.67,0.00451,Cellular Components,0.09090909091,February
evm.TU.chromosome_4.1552,GO:0000413,protein peptidyl-prolyl isomerization,6,2,0.09,0.00336,Cellular Components,0.3333333333,February
evm.TU.chromosome_4.1557,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Cellular Components,0.02486187845,February
evm.TU.chromosome_4.1324,GO:0061077,chaperone-mediated protein folding,41,3,0.63,0.02467,Cellular Components,0.07317073171,February
evm.TU.chromosome_4.1324,GO:0061077,chaperone-mediated protein folding,41,3,0.63,0.02467,Cellular Components,0.07317073171,February
evm.TU.chromosome_4.1324.1.5f15e4be,GO:0061077,chaperone-mediated protein folding,41,3,0.63,0.02467,Cellular Components,0.07317073171,February
evm.TU.chromosome_4.1324.1.5f15e4be,GO:0061077,chaperone-mediated protein folding,41,3,0.63,0.02467,Cellular Components,0.07317073171,February
evm.TU.chromosome_4.157,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Cellular Components,0.05263157895,February
evm.TU.chromosome_4.519,GO:0001501,skeletal system development,565,13,8.65,0.00039,Cellular Components,0.02300884956,February
evm.TU.chromosome_4.1824,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Cellular Components,0.14,February
evm.TU.chromosome_4.2170,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.2170,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Cellular Components,0.1219512195,February
evm.TU.chromosome_4.137,GO:0070208,protein heterotrimerization,44,4,0.67,0.00451,Cellular Components,0.09090909091,February
evm.TU.chromosome_4.2431,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Cellular Components,0.02650176678,February
evm.TU.chromosome_4.2431,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Cellular Components,0.02650176678,February
evm.TU.chromosome_4.2432,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Cellular Components,0.02650176678,February
evm.TU.chromosome_4.2432,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Cellular Components,0.02650176678,February
evm.TU.chromosome_4.1375,GO:0009308,amine metabolic process,180,4,2.76,0.0189,Cellular Components,0.02222222222,February
evm.TU.chromosome_4.1375,GO:0097185,cellular response to azide,4,2,0.06,0.00137,Cellular Components,0.5,February
evm.TU.chromosome_4.1375,GO:0071280,cellular response to copper ion,6,2,0.09,0.00336,Cellular Components,0.3333333333,February
evm.TU.chromosome_4.1375,GO:0035874,cellular response to copper ion starvation,4,2,0.06,0.00137,Cellular Components,0.5,February
evm.TU.chromosome_4.1375,GO:0071420,cellular response to histamine,30,3,0.46,0.01062,Cellular Components,0.1,February
evm.TU.chromosome_4.1375,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Cellular Components,0.05263157895,February
evm.TU.chromosome_4.1375,GO:0009308,amine metabolic process,180,4,2.76,0.0189,Cellular Components,0.02222222222,February
evm.TU.chromosome_4.1374,GO:0009308,amine metabolic process,180,4,2.76,0.0189,Cellular Components,0.02222222222,February
evm.TU.chromosome_4.1374,GO:0097185,cellular response to azide,4,2,0.06,0.00137,Cellular Components,0.5,February
evm.TU.chromosome_4.1374,GO:0071280,cellular response to copper ion,6,2,0.09,0.00336,Cellular Components,0.3333333333,February
evm.TU.chromosome_4.1374,GO:0035874,cellular response to copper ion starvation,4,2,0.06,0.00137,Cellular Components,0.5,February
evm.TU.chromosome_4.1374,GO:0071420,cellular response to histamine,30,3,0.46,0.01062,Cellular Components,0.1,February
evm.TU.chromosome_4.1374,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Cellular Components,0.05263157895,February
evm.TU.chromosome_4.1374,GO:0009308,amine metabolic process,180,4,2.76,0.0189,Cellular Components,0.02222222222,February
evm.TU.chromosome_4.64,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Cellular Components,0.05633802817,February
evm.TU.chromosome_4.68,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Cellular Components,0.02650176678,February
evm.TU.chromosome_4.68,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Cellular Components,0.02650176678,February
evm.TU.chromosome_4.545,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.545,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Cellular Components,0.1219512195,February
evm.TU.chromosome_4.542,GO:0010718,positive regulation of epithelial to mesenchymal tr...,50,4,0.77,0.00713,Cellular Components,0.08,February
evm.TU.chromosome_4.2325,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.1859,GO:0010492,maintenance of shoot apical meristem identity,2,1,0.03,0.03039,Cellular Components,0.5,February
evm.TU.chromosome_4.1859,GO:0048544,recognition of pollen,2,1,0.03,0.03039,Cellular Components,0.5,February
evm.TU.chromosome_4.1145,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.1140,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Cellular Components,0.02486187845,February
evm.TU.chromosome_4.1141,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Cellular Components,0.02486187845,February
evm.TU.chromosome_4.1143,GO:0048149,behavioral response to ethanol,22,3,0.34,0.00441,Cellular Components,0.1363636364,February
evm.TU.chromosome_4.1143,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_4.1863,GO:0042730,fibrinolysis,27,4,0.41,0.00071,Cellular Components,0.1481481481,February
evm.TU.chromosome_4.2404,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Cellular Components,0.0310880829,February
evm.TU.chromosome_4.944,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Cellular Components,0.02486187845,February
evm.TU.chromosome_4.1742,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_4.1237,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Cellular Components,0.08108108108,February
evm.TU.chromosome_4.1237,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Cellular Components,0.08108108108,February
evm.TU.chromosome_4.1239,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Cellular Components,0.0310880829,February
evm.TU.chromosome_5.538,GO:0030048,actin filament-based movement,62,6,0.95,0.00693,Cellular Components,0.09677419355,February
evm.TU.chromosome_5.1099,GO:0033344,cholesterol efflux,37,3,0.57,0.0188,Cellular Components,0.08108108108,February
evm.TU.chromosome_5.1212,GO:0030048,actin filament-based movement,62,6,0.95,0.00693,Cellular Components,0.09677419355,February
evm.TU.chromosome_5.1212,GO:0035317,imaginal disc-derived wing hair organization,12,2,0.18,0.01393,Cellular Components,0.1666666667,February
evm.TU.chromosome_5.539,GO:0030048,actin filament-based movement,62,6,0.95,0.00693,Cellular Components,0.09677419355,February
evm.TU.chromosome_5.2615,GO:0060537,muscle tissue development,262,9,4.01,0.02992,Cellular Components,0.03435114504,February
evm.TU.chromosome_5.2611,GO:0061077,chaperone-mediated protein folding,41,3,0.63,0.02467,Cellular Components,0.07317073171,February
evm.TU.chromosome_5.540,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Cellular Components,0.0310880829,February
evm.TU.chromosome_5.946,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_5.946,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Cellular Components,0.05263157895,February
evm.TU.chromosome_5.1191,GO:0030042,actin filament depolymerization,46,4,0.7,0.00529,Cellular Components,0.08695652174,February
evm.TU.chromosome_5.1892,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Cellular Components,0.02486187845,February
evm.TU.chromosome_5.1151,GO:0001568,blood vessel development,585,12,8.96,0.01126,Cellular Components,0.02051282051,February
evm.TU.chromosome_5.1100,GO:0033344,cholesterol efflux,37,3,0.57,0.0188,Cellular Components,0.08108108108,February
evm.TU.chromosome_5.824,GO:0045492,xylan biosynthetic process,2,1,0.03,0.03039,Cellular Components,0.5,February
evm.TU.chromosome_5.1924,GO:0033619,membrane protein proteolysis,117,5,1.79,0.01264,Cellular Components,0.04273504274,February
evm.TU.chromosome_5.914,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_5.142,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Cellular Components,0.0310880829,February
evm.TU.chromosome_5.1513,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Cellular Components,0.03086419753,February
evm.TU.chromosome_5.513,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Cellular Components,0.09523809524,February
evm.TU.chromosome_5.243,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Cellular Components,0.14,February
evm.TU.chromosome_5.2784,GO:0006879,intracellular iron ion homeostasis,48,4,0.73,0.00616,Cellular Components,0.08333333333,February
evm.TU.chromosome_5.2533,GO:0030261,chromosome condensation,37,4,0.57,0.00239,Cellular Components,0.1081081081,February
evm.TU.chromosome_5.2533,GO:0030261,chromosome condensation,37,4,0.57,0.00239,Cellular Components,0.1081081081,February
evm.TU.chromosome_5.256,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_5.636,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Cellular Components,0.09523809524,February
evm.TU.chromosome_5.636,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Cellular Components,0.05501618123,February
evm.TU.chromosome_5.1475,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Cellular Components,0.03086419753,February
evm.TU.chromosome_5.2132,GO:1900227,positive regulation of NLRP3 inflammasome complex a...,13,2,0.2,0.0163,Cellular Components,0.1538461538,February
evm.TU.chromosome_5.2138,GO:1900227,positive regulation of NLRP3 inflammasome complex a...,13,2,0.2,0.0163,Cellular Components,0.1538461538,February
evm.TU.chromosome_5.305,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_5.9,GO:0001501,skeletal system development,565,13,8.65,0.00039,Cellular Components,0.02300884956,February
evm.TU.chromosome_5.285,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Cellular Components,0.14,February
evm.TU.chromosome_5.67,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Cellular Components,0.05487804878,February
evm.TU.chromosome_5.433,GO:0006691,leukotriene metabolic process,31,3,0.47,0.03021,Cellular Components,0.09677419355,February
evm.TU.chromosome_5.1051,GO:0001501,skeletal system development,565,13,8.65,0.00039,Cellular Components,0.02300884956,February
evm.TU.chromosome_5.473,GO:0001501,skeletal system development,565,13,8.65,0.00039,Cellular Components,0.02300884956,February
