miRNA,mRNA,PCC.cor,p_value,adjusted_p_value,score,energy,query_start_end,subject_start_end,total_bp_shared,query_similar,subject_similar,Swiss.Prot_Hit,SP_E.value,Swiss.Prot_Description,Trembl_Hit,TB_E.value,Trembl_Description,NCBI_hit,nr_E.value,NCBI_Description,GO_Swiss.Prot,GO_Trembl
Cluster_3406,evm.TU.chromosome_12.2684,-0.1649596476,0.4997557309,0.9023085018,154,-20.15,2 18,398 419,17,82.35%,82.35%,sp|P14416|DRD2_HUMAN,7.83E-10,D(2) dopamine receptor OS=Homo sapiens GN=DRD2 PE=1 SV=2,tr|A7SD06|A7SD06_NEMVE,2.69E-96,Predicted protein OS=Nematostella vectensis GN=v1g244403 PE=4 SV=1,ref|XP_020604676.1|,0,adenosine receptor A3-like [Orbicella faveolata],GO:0001669; GO:0030424; GO:0043679; GO:0060170; GO:0030425; GO:0043197; GO:0030139; GO:0005887; GO:0005622; GO:0016328; GO:0097730; GO:0043204; GO:0005886; GO:0014069; GO:0036126; GO:0030672; GO:0035240; GO:0001591; GO:0008144; GO:0042802; GO:0035255; GO:0015459; GO:0046982; GO:0042803; GO:0032147; GO:0021984; GO:0007195; GO:0007628; GO:0050482; GO:0008306; GO:0031223; GO:0007409; GO:0048148; GO:0048149; GO:0048755; GO:0006874; GO:0021853; GO:0032922; GO:0042417; GO:0060079; GO:0007631; GO:0002031; GO:0007186; GO:0007625; GO:0035556; GO:0007626; GO:0007616; GO:0007194; GO:0045776; GO:0030336; GO:0008285; GO:0042321; GO:0051481; GO:0060160; GO:0033602; GO:0045824; GO:0046676; GO:0051898; GO:0050709; GO:0051967; GO:1901386; GO:0001976; GO:0007270; GO:0021769; GO:0030432; GO:0060158; GO:0043473; GO:0032467; GO:0051482; GO:0051586; GO:0070374; GO:0045745; GO:1900168; GO:0060124; GO:1900273; GO:0040018; GO:0002052; GO:0002092; GO:0035815; GO:0045944; GO:0035810; GO:0060134; GO:0008104; GO:0014059; GO:0051584; GO:0002027; GO:0090325; GO:0048169; GO:0043666; GO:0043266; GO:0002028; GO:0051823; GO:0032228; GO:0051209; GO:0001975; GO:0048678; GO:0042220; GO:0042493; GO:0034776; GO:0001666; GO:0014854; GO:0010039; GO:0009416; GO:0043278; GO:0035094; GO:0009636; GO:0007608; GO:0021756; GO:0007416; GO:0001963; GO:0001659; GO:0008542; GO:0016055,GO:0016021; GO:0004930
Cluster_1452,evm.TU.chromosome_7.1678,-0.1215418368,0.6201299906,0.9332240068,155,-20.12,2 21,62 80,19,78.95%,78.95%,sp|Q5GFL6|VWA2_HUMAN,7.38E-14,von Willebrand factor A domain-containing protein 2 OS=Homo sapiens GN=VWA2 PE=1 SV=1,tr|A0A2B4S0M0|A0A2B4S0M0_STYPI,1.45E-170,Collagen alpha-1(XIV) chain OS=Stylophora pistillata GN=Col14a1 PE=4 SV=1,ref|XP_020629401.1|,0,uncharacterized protein LOC110066519 [Orbicella faveolata],GO:0005604; GO:0070062; GO:0005615; GO:0005509; GO:0042802; GO:0007161; GO:0051260; GO:0046626,GO:0005604; GO:0005581; GO:0005615
Cluster_3037,evm.TU.chromosome_2.316,0.2271952826,0.349580965,0.8545268866,151,-20.21,2 20,732 752,18,66.67%,72.22%,sp|B9DFR3|PAE9_ARATH,4.85E-77,Pectin acetylesterase 9 OS=Arabidopsis thaliana GN=PAE9 PE=2 SV=1,tr|A0A2B4S675|A0A2B4S675_STYPI,0,Protein notum-like OS=Stylophora pistillata GN=Notum PE=4 SV=1,gb|PFX24549.1|,0,Protein notum-like [Stylophora pistillata],GO:0005576; GO:0009505; GO:0052793; GO:0071555,GO:0016787; GO:0046872
Cluster_4640,evm.TU.chromosome_10.1295,0.4689305531,0.04283634479,0.5498730582,162,-21.33,2 20,818 841,20,70.00%,85.00%,NA,NA,NA,tr|A0A2B4S9S9|A0A2B4S9S9_STYPI,2.63E-146,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene9203 PE=4 SV=1,ref|XP_020621906.1|,0,uncharacterized protein LOC110059539 [Orbicella faveolata],NA,GO:0016021
Cluster_4640,evm.TU.chromosome_10.1296,0.06570674852,0.7892739928,0.9679635322,162,-21.33,2 20,581 604,20,70.00%,85.00%,sp|Q9YHY6|CND1_XENLA,0,Condensin complex subunit 1 OS=Xenopus laevis GN=ncapd2 PE=1 SV=1,tr|A0A2B4SCH0|A0A2B4SCH0_STYPI,0,Condensin complex subunit 1 OS=Stylophora pistillata GN=ncapd2 PE=4 SV=1,ref|XP_022789842.1|,0,condensin complex subunit 1-like isoform X2 [Stylophora pistillata],GO:0005694; GO:0005829; GO:0005634; GO:0051301; GO:0007076,GO:0005634; GO:0007076
Cluster_1453,evm.TU.chromosome_9.2873,-0.04626722551,0.8508118732,0.9785151306,158,-22.92,2 21,932 957,23,73.91%,73.91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cluster_2003,evm.TU.chromosome_9.2877,-0.07916848667,0.7473270476,0.9602447067,156,-21.91,2 19,659 684,21,76.19%,76.19%,NA,NA,NA,tr|A0A2B4STE9|A0A2B4STE9_STYPI,4.00E-17,"Aspartate--tRNA ligase, cytoplasmic OS=Stylophora pistillata GN=DARS PE=4 SV=1",gb|PFX33181.1|,6.19E-17,"Aspartate--tRNA ligase, cytoplasmic [Stylophora pistillata]",NA,GO:0005737; GO:0004815; GO:0005524; GO:0006422
Cluster_2003,evm.TU.chromosome_9.2878,-0.2208161504,0.3636367216,0.8596451245,156,-21.91,2 19,416 441,21,76.19%,76.19%,sp|P25787|PSA2_HUMAN,3.10E-148,Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2,tr|A0A2B4SWD0|A0A2B4SWD0_STYPI,1.36E-173,Proteasome subunit alpha type-2 OS=Stylophora pistillata GN=PSMA2 PE=4 SV=1,ref|XP_020616403.1|,1.08E-173,proteasome subunit alpha type-2 [Orbicella faveolata],GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0005654; GO:0005634; GO:0000932; GO:0000502; GO:0005839; GO:0019773; GO:0034774; GO:0004298; GO:0031145; GO:0002479; GO:0038095; GO:0070498; GO:0000165; GO:0090090; GO:0010972; GO:0051436; GO:0043312; GO:0038061; GO:0090263; GO:0051437; GO:0043687; GO:0043161; GO:0016579; GO:0000209; GO:0006521; GO:1902036; GO:0043488; GO:0061418; GO:0009615; GO:0031146; GO:0002223; GO:0050852; GO:0055085; GO:0033209; GO:0060071,GO:0005737; GO:0005634; GO:0019773; GO:0004298; GO:0006511
Cluster_4640,evm.TU.chromosome_13.1956,-0.08933269137,0.7160931162,0.9542099706,158,-22.6,2 21,332 355,21,76.19%,76.19%,NA,NA,NA,tr|W4YBG1|W4YBG1_STRPU,5.36E-125,Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1,ref|XP_015747850.1|,0,PREDICTED: uncharacterized protein LOC107327618 [Acropora digitifera],NA,
Cluster_2097,evm.TU.chromosome_5.2367,-0.4861501458,0.03481880442,0.5200518708,170,-22.54,2 20,879 902,20,80.00%,85.00%,sp|Q24155|TRUNK_DROME,3.70E-20,Protein trunk OS=Drosophila melanogaster GN=trk PE=3 SV=1,tr|A0A2B4SQY1|A0A2B4SQY1_STYPI,1.71E-97,Protein trunk OS=Stylophora pistillata GN=trk PE=4 SV=1,gb|PFX31008.1|,2.65E-97,protein trunk-like isoform X6 [Stylophora pistillata],GO:0005576; GO:0005122; GO:0008595; GO:0008358; GO:0007362; GO:0008293,
Cluster_3037,evm.TU.chromosome_13.117,-0.2826161953,0.241054429,0.8025024401,154,-22.69,2 20,397 418,19,73.68%,73.68%,sp|Q3U1D0|LINES_MOUSE,4.83E-11,Protein Lines homolog 1 OS=Mus musculus GN=Lins1 PE=1 SV=2,tr|A0A2B4T0V7|A0A2B4T0V7_STYPI,1.01E-165,Protein Lines-like OS=Stylophora pistillata GN=Lins PE=4 SV=1,ref|XP_020621159.1|,0,uncharacterized protein LOC110058836 [Orbicella faveolata],GO:0050890,
Cluster_3406,evm.TU.chromosome_4.183,-0.3445034083,0.1486366894,0.7344644161,159,-20.49,2 21,779 801,20,70.00%,80.00%,NA,NA,NA,tr|A0A2B4SK04|A0A2B4SK04_STYPI,1.56E-55,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene5549 PE=4 SV=1,ref|XP_022783973.1|,2.56E-63,uncharacterized protein LOC111324629 [Stylophora pistillata],NA,
Cluster_4831,evm.TU.chromosome_1.1017,-0.2153626729,0.3759033167,0.8641244673,172,-21.52,2 17,356 377,15,93.33%,93.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cluster_4425,evm.TU.chromosome_9.2461,0.1788155773,0.4638883991,0.891932769,145,-20.61,2 20,692 709,18,72.22%,77.78%,sp|Q9BZE4|NOG1_HUMAN,0,Nucleolar GTP-binding protein 1 OS=Homo sapiens GN=GTPBP4 PE=1 SV=3,tr|A7RHM9|A7RHM9_NEMVE,0,Nucleolar GTP-binding protein 1 OS=Nematostella vectensis GN=v1g228024 PE=3 SV=1,ref|XP_022792747.1|,0,nucleolar GTP-binding protein 1-like [Stylophora pistillata],GO:0005737; GO:0005829; GO:0005794; GO:0016020; GO:0031965; GO:0005730; GO:0005634; GO:0048471; GO:0005525; GO:0003924; GO:0003723; GO:0000463; GO:0030336; GO:0008285; GO:0022408; GO:0033342; GO:0008156; GO:0031397; GO:0001649; GO:0050821; GO:0000079,GO:0005730; GO:0005525; GO:0042254
Cluster_3293,evm.TU.chromosome_12.3131,-0.1342685013,0.583676987,0.9248465665,177,-29.2,2 20,156 175,18,88.89%,94.44%,NA,NA,NA,tr|A0A2B4SSY2|A0A2B4SSY2_STYPI,1.07E-35,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene3639 PE=4 SV=1,ref|XP_020614548.1|,1.15E-60,uncharacterized protein LOC110052729 [Orbicella faveolata],NA,
Cluster_9000,evm.TU.chromosome_12.3130,0.008806831275,0.971455859,0.9963426582,161,-22.51,2 14,486 507,12,91.67%,100.00%,NA,NA,NA,tr|A0A2B4SNR7|A0A2B4SNR7_STYPI,1.71E-49,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene3642 PE=4 SV=1,ref|XP_020614522.1|,1.35E-67,UPF0547 protein C16orf87 homolog [Orbicella faveolata],NA,GO:0003676
Cluster_1452,evm.TU.chromosome_9.2799,0.3371788318,0.1580410962,0.7434783078,156,-20.27,2 21,38 58,20,75.00%,80.00%,sp|Q6P4K6|S11IP_XENTR,1.86E-51,Serine/threonine-protein kinase 11-interacting protein OS=Xenopus tropicalis GN=stk11ip PE=2 SV=1,tr|A0A2B4RS53|A0A2B4RS53_STYPI,0,Serine/threonine-protein kinase 11-interacting protein OS=Stylophora pistillata GN=stk11ip PE=4 SV=1,ref|XP_020625065.1|,0,serine/threonine-protein kinase 11-interacting protein-like [Orbicella faveolata],GO:0005737,GO:0016021; GO:0005622; GO:0004930; GO:0016301; GO:0035556
Cluster_1453,evm.TU.chromosome_9.2799,-0.02117222065,0.9314414892,0.9907511403,156,-20.58,2 21,363 382,19,73.68%,84.21%,sp|Q6P4K6|S11IP_XENTR,1.86E-51,Serine/threonine-protein kinase 11-interacting protein OS=Xenopus tropicalis GN=stk11ip PE=2 SV=1,tr|A0A2B4RS53|A0A2B4RS53_STYPI,0,Serine/threonine-protein kinase 11-interacting protein OS=Stylophora pistillata GN=stk11ip PE=4 SV=1,ref|XP_020625065.1|,0,serine/threonine-protein kinase 11-interacting protein-like [Orbicella faveolata],GO:0005737,GO:0016021; GO:0005622; GO:0004930; GO:0016301; GO:0035556
Cluster_4754,evm.TU.chromosome_11.1524,-0.1403457862,0.5665969736,0.9203907617,156,-21.28,2 20,294 319,22,77.27%,77.27%,NA,NA,NA,tr|W4YLS0|W4YLS0_STRPU,0,Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1,ref|XP_003729535.1|,2.98E-179,PREDICTED: uncharacterized protein LOC100892047 [Strongylocentrotus purpuratus],NA,GO:0004190; GO:0003676; GO:0015074
Cluster_3406,evm.TU.chromosome_9.1849,-0.04794925746,0.8454492335,0.9775715585,150,-20.76,2 21,302 325,21,66.67%,76.19%,NA,NA,NA,tr|A0A2B4RBH1|A0A2B4RBH1_STYPI,3.08E-32,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene22334 PE=4 SV=1,ref|XP_020601368.1|,3.33E-67,uncharacterized protein LOC110040477 [Orbicella faveolata],NA,GO:0042981; GO:0007165
Cluster_995,evm.TU.chromosome_5.916,0.3460373415,0.146717467,0.7327584828,159,-24.91,2 21,485 509,22,72.73%,72.73%,NA,NA,NA,tr|A0A147BUD8|A0A147BUD8_IXORI,9.79E-58,Putative reverse transcriptase (Fragment) OS=Ixodes ricinus PE=4 SV=1,ref|XP_015778891.1|,1.05E-146,PREDICTED: uncharacterized protein LOC107356779 [Acropora digitifera],NA,GO:0003964
Cluster_998,evm.TU.chromosome_5.911,-0.0637306778,0.7954814178,0.9690317951,166,-21.53,2 20,36 57,19,78.95%,84.21%,sp|Q8C1B2|PARPT_MOUSE,4.45E-08,TCDD-inducible poly [ADP-ribose] polymerase OS=Mus musculus GN=Tiparp PE=2 SV=1,tr|A0A2B4RIW9|A0A2B4RIW9_STYPI,1.83E-103,Poly [ADP-ribose] polymerase 12 OS=Stylophora pistillata GN=Parp12 PE=4 SV=1,ref|XP_020618050.1|,4.90E-148,uncharacterized protein LOC110055953 [Orbicella faveolata],GO:0005634; GO:0035326; GO:0046872; GO:0003950; GO:0008209; GO:0071407; GO:0008210; GO:0060325; GO:0008585; GO:0030097; GO:0001822; GO:0044236; GO:0010629; GO:0006807; GO:0060021; GO:0048008; GO:0045732; GO:0009791; GO:0006471; GO:0048705; GO:0048745; GO:0001570,GO:0003950; GO:0008270
Cluster_6059,evm.TU.chromosome_8.1750,-0.02572583005,0.9167407152,0.9886661938,160,-20.55,2 20,152 171,18,77.78%,83.33%,sp|Q9P2L0|WDR35_HUMAN,0,WD repeat-containing protein 35 OS=Homo sapiens GN=WDR35 PE=1 SV=3,tr|A0A210QYN3|A0A210QYN3_MIZYE,0,WD repeat-containing protein 35 OS=Mizuhopecten yessoensis GN=KP79_PYT24060 PE=4 SV=1,ref|XP_020619300.1|,0,WD repeat-containing protein 35-like [Orbicella faveolata],GO:0005930; GO:0005813; GO:0036064; GO:0097542; GO:0005929; GO:0030991; GO:0035091; GO:0071333; GO:1990830; GO:1905705; GO:0071356; GO:0060271; GO:0035721; GO:0035735; GO:0097421; GO:0097756; GO:0010629; GO:0045019; GO:0043280; GO:0090200; GO:0061512; GO:0032496; GO:0009636,
Cluster_1453,evm.TU.chromosome_14.5232,0.2069220451,0.3953390987,0.8707699977,167,-22.04,2 21,537 559,20,80.00%,80.00%,sp|F6QEU4|LIN41_XENTR,6.25E-08,E3 ubiquitin-protein ligase TRIM71 OS=Xenopus tropicalis GN=trim71 PE=3 SV=1,tr|A0A2B4S3V6|A0A2B4S3V6_STYPI,1.80E-128,Tripartite motif-containing protein 3 OS=Stylophora pistillata GN=Trim3 PE=4 SV=1,ref|XP_020601558.1|,0,uncharacterized protein LOC110040631 [Orbicella faveolata],GO:0000932; GO:0035198; GO:0004842; GO:0008270; GO:0010172; GO:0008543; GO:0000082; GO:0035278; GO:0010586; GO:0021915; GO:0051865; GO:0060964; GO:2000177; GO:0072089,
Cluster_4696,evm.TU.chromosome_9.251,0.1693603413,0.488221489,0.8989985234,162,-21.53,2 21,43 63,19,78.95%,78.95%,NA,NA,NA,tr|A0A2B4SII2|A0A2B4SII2_STYPI,4.29E-39,Heme transporter hrg1-A OS=Stylophora pistillata GN=slc48a1-a PE=4 SV=1,ref|XP_020601195.1|,1.11E-44,heme transporter HRG1-like [Orbicella faveolata],NA,GO:0016021; GO:0015232
Cluster_4831,evm.TU.chromosome_9.250,0.1465177527,0.5494775545,0.9159811269,166,-20.52,2 21,190 210,19,78.95%,84.21%,sp|Q8NHR7|TERB2_HUMAN,7.25E-09,Telomere repeats-binding bouquet formation protein 2 OS=Homo sapiens GN=TERB2 PE=2 SV=1,tr|A0A2B4SZ80|A0A2B4SZ80_STYPI,1.61E-93,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene581 PE=4 SV=1,ref|XP_020630061.1|,6.82E-109,uncharacterized protein LOC110067110 [Orbicella faveolata],GO:0000784; GO:0005637; GO:0070197; GO:0045141; GO:0007129,
Cluster_4425,evm.TU.chromosome_12.170,-0.162272476,0.5068628082,0.9042896427,154,-22.01,2 21,219 242,21,66.67%,80.95%,sp|Q91FR3|VF259_IIV6,2.71E-09,Uncharacterized protein 259R OS=Invertebrate iridescent virus 6 GN=IIV6-259R PE=3 SV=1,tr|A7TCH6|A7TCH6_NEMVE,5.01E-38,Predicted protein OS=Nematostella vectensis GN=v1g225245 PE=4 SV=1,gb|EDO26250.1|,7.76E-38,hypothetical protein NEMVEDRAFT_v1g225245 [Nematostella vectensis],GO:0016021,GO:0016021
Cluster_4831,evm.TU.chromosome_14.1267,0.1911945633,0.4329849668,0.8827773486,157,-22.39,2 20,502 526,21,71.43%,80.95%,NA,NA,NA,NA,NA,NA,ref|XP_020602189.1|,1.57E-52,uncharacterized protein LOC110041248 [Orbicella faveolata],NA,NA
Cluster_6059,evm.TU.chromosome_14.1262,-0.08228502406,0.7377074845,0.9584240193,177,-25.88,2 18,373 394,16,87.50%,100.00%,sp|D3YXG0|HMCN1_MOUSE,1.64E-31,Hemicentin-1 OS=Mus musculus GN=Hmcn1 PE=1 SV=1,tr|A0A2B4RMG1|A0A2B4RMG1_STYPI,1.02E-47,Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1,gb|PFX17700.1|,1.58E-47,coadhesin-like [Stylophora pistillata],GO:0005604; GO:0005938; GO:0030054; GO:0032154; GO:0005576; GO:0005509; GO:0007049; GO:0051301,
Cluster_3331,evm.TU.chromosome_5.1491,0.4896674499,0.03333481053,0.5139735868,155,-21.35,2 21,912 935,21,71.43%,71.43%,sp|Q8C753|K0556_MOUSE,0,Protein KIAA0556 OS=Mus musculus GN=Kiaa0556 PE=1 SV=2,tr|A0A2B4S3J2|A0A2B4S3J2_STYPI,0,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene12303 PE=4 SV=1,ref|XP_020608694.1|,0,LOW QUALITY PROTEIN: protein KIAA0556-like [Orbicella faveolata],GO:0042995; GO:0005737; GO:0005856,
Cluster_3337,evm.TU.chromosome_5.1491,-0.3673098151,0.1218560414,0.7053487756,155,-21.35,2 21,912 935,21,71.43%,71.43%,sp|Q8C753|K0556_MOUSE,0,Protein KIAA0556 OS=Mus musculus GN=Kiaa0556 PE=1 SV=2,tr|A0A2B4S3J2|A0A2B4S3J2_STYPI,0,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene12303 PE=4 SV=1,ref|XP_020608694.1|,0,LOW QUALITY PROTEIN: protein KIAA0556-like [Orbicella faveolata],GO:0042995; GO:0005737; GO:0005856,
Cluster_3338,evm.TU.chromosome_5.1491,-0.3858692711,0.1027438308,0.6798619644,155,-21.35,2 21,912 935,21,71.43%,71.43%,sp|Q8C753|K0556_MOUSE,0,Protein KIAA0556 OS=Mus musculus GN=Kiaa0556 PE=1 SV=2,tr|A0A2B4S3J2|A0A2B4S3J2_STYPI,0,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene12303 PE=4 SV=1,ref|XP_020608694.1|,0,LOW QUALITY PROTEIN: protein KIAA0556-like [Orbicella faveolata],GO:0042995; GO:0005737; GO:0005856,
Cluster_4831,evm.TU.chromosome_14.1268,0.1277615551,0.6022018281,0.9292333778,157,-22.39,2 20,30 54,21,71.43%,80.95%,sp|Q8BFR2|FSTL5_MOUSE,4.60E-59,Follistatin-related protein 5 OS=Mus musculus GN=Fstl5 PE=2 SV=1,tr|A0A2B4RD90|A0A2B4RD90_STYPI,0,Follistatin-related protein 5 OS=Stylophora pistillata GN=Fstl5 PE=4 SV=1,ref|XP_020602188.1|,0,follistatin-related protein 5-like [Orbicella faveolata],GO:0005576; GO:0005509,GO:0005509
Cluster_1452,evm.TU.chromosome_5.1497,0.004942082838,0.9839799079,0.9979169629,160,-23.02,2 18,180 202,17,76.47%,88.24%,NA,NA,NA,tr|A0A2B4RNS0|A0A2B4RNS0_STYPI,0,Polycystic kidney disease protein 1-like 2 OS=Stylophora pistillata GN=Pkd1l2 PE=4 SV=1,gb|PFX18429.1|,0,Polycystic kidney disease protein 1-like 2 [Stylophora pistillata],NA,GO:0016021; GO:0005509
Cluster_1772,evm.TU.chromosome_3.1196,-0.02601001913,0.9158240546,0.9885080339,162,-23.31,2 16,64 86,15,86.67%,93.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cluster_2151,evm.TU.chromosome_5.2566,0.2175388935,0.3709807669,0.8623880274,171,-21.82,2 21,872 897,23,73.91%,82.61%,NA,NA,NA,tr|A0A2B4S8C8|A0A2B4S8C8_STYPI,1.90E-16,BTB/POZ domain-containing protein 6 OS=Stylophora pistillata GN=Btbd6 PE=4 SV=1,ref|XP_020620431.1|,1.54E-36,BTB/POZ domain-containing protein 6-like [Orbicella faveolata],NA,
Cluster_998,evm.TU.chromosome_1.1257,-0.2683921477,0.2665633461,0.8165361984,167,-21.98,2 17,183 205,17,88.24%,88.24%,sp|P35546|RET_MOUSE,1.57E-82,Proto-oncogene tyrosine-protein kinase receptor Ret OS=Mus musculus GN=Ret PE=1 SV=2,tr|A0A2B4RMX3|A0A2B4RMX3_STYPI,4.08E-165,Tyrosine kinase receptor Cad96Ca OS=Stylophora pistillata GN=Cad96Ca PE=4 SV=1,ref|XP_022810554.1|,0,"vascular endothelial growth factor receptor 2-like, partial [Stylophora pistillata]",GO:0030424; GO:0005829; GO:0030425; GO:0005769; GO:0010008; GO:0005887; GO:0043231; GO:0045121; GO:0043025; GO:0005886; GO:0098797; GO:0043235; GO:0005524; GO:0005509; GO:0004714; GO:0006919; GO:0009653; GO:0071300; GO:0001838; GO:0048484; GO:0007156; GO:0060384; GO:0000165; GO:0033619; GO:0007399; GO:0001755; GO:0007158; GO:0030182; GO:0042551; GO:0061146; GO:0033630; GO:0030335; GO:0045793; GO:2001241; GO:0010628; GO:0072300; GO:0014042; GO:0010976; GO:0033141; GO:0045893; GO:0050770; GO:0030155; GO:0042493; GO:0048265; GO:0060041; GO:0007169; GO:0035799; GO:0001657,GO:0016021; GO:0005524; GO:0004713
Cluster_4646,evm.TU.chromosome_3.413,0.2543372431,0.2933634951,0.8301448999,157,-20.86,2 21,211 232,20,75.00%,80.00%,sp|O66506|PRMC_AQUAE,8.16E-09,Release factor glutamine methyltransferase OS=Aquifex aeolicus (strain VF5) GN=prmC PE=3 SV=1,tr|A7RHA8|A7RHA8_NEMVE,9.67E-38,Predicted protein OS=Nematostella vectensis GN=v1g197133 PE=4 SV=1,ref|XP_020631676.1|,9.36E-117,uncharacterized protein LOC110068613 isoform X1 [Orbicella faveolata],GO:0005829; GO:0003676; GO:0008276; GO:0102559; GO:0008757,
Cluster_4831,evm.TU.chromosome_3.412,0.1821440768,0.4554712524,0.8896183813,162,-20.8,2 20,307 329,19,78.95%,78.95%,sp|Q9ZCB3|RFTRM_RICPR,2.88E-11,Bifunctional methyltransferase OS=Rickettsia prowazekii (strain Madrid E) GN=prmC/trmB PE=3 SV=1,tr|A7RHA8|A7RHA8_NEMVE,6.53E-39,Predicted protein OS=Nematostella vectensis GN=v1g197133 PE=4 SV=1,ref|XP_020631676.1|,3.01E-114,uncharacterized protein LOC110068613 isoform X1 [Orbicella faveolata],GO:0003676; GO:0008276; GO:0102559; GO:0008176,
Cluster_1452,evm.TU.chromosome_14.4620,0.2946609147,0.2207193053,0.7905516803,154,-20.45,2 21,60 85,23,65.22%,78.26%,NA,NA,NA,tr|A0A2B4RF57|A0A2B4RF57_STYPI,6.78E-22,Putative L-type lectin-domain containing receptor kinase S.5 OS=Stylophora pistillata GN=LECRKS5 PE=4 SV=1,ref|XP_020631286.1|,1.53E-26,uncharacterized protein LOC110068248 [Orbicella faveolata],NA,GO:0005524; GO:0030246; GO:0004672
Cluster_4425,evm.TU.chromosome_12.1697,-0.08323633715,0.7347784917,0.9577564615,169,-25.44,2 20,491 511,18,83.33%,88.89%,sp|Q5VV63|ATRN1_HUMAN,3.83E-133,Attractin-like protein 1 OS=Homo sapiens GN=ATRNL1 PE=2 SV=2,tr|A0A2B4SD84|A0A2B4SD84_STYPI,0,Attractin-like protein 1 OS=Stylophora pistillata GN=Atrnl1 PE=4 SV=1,gb|PFX26405.1|,0,attractin-like protein 1 [Stylophora pistillata],GO:0016021; GO:0030246; GO:0007186,GO:0016021
Cluster_1453,evm.TU.chromosome_12.3695,-0.2672963183,0.268595913,0.8175261278,158,-23.6,2 16,744 766,15,80.00%,93.33%,sp|Q9R283|TRPC2_RAT,3.74E-16,Short transient receptor potential channel 2 OS=Rattus norvegicus GN=Trpc2 PE=2 SV=2,tr|A0A2B4SBX9|A0A2B4SBX9_STYPI,0,Short transient receptor potential channel 2 OS=Stylophora pistillata GN=Trpc2 PE=4 SV=1,ref|XP_020608602.1|,0,uncharacterized protein LOC110047196 isoform X2 [Orbicella faveolata],GO:0005887; GO:0005634; GO:0003684; GO:0015279; GO:0006828; GO:0051480; GO:0007338; GO:0000012,GO:0016021; GO:0005262
Cluster_4646,evm.TU.chromosome_9.755,-0.08106381186,0.7414725417,0.959149263,160,-20.28,2 13,826 847,11,100.00%,100.00%,sp|D3YXG0|HMCN1_MOUSE,2.52E-96,Hemicentin-1 OS=Mus musculus GN=Hmcn1 PE=1 SV=1,tr|A0A2B4S0B4|A0A2B4S0B4_STYPI,0,Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1,ref|XP_022796325.1|,0,A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like [Stylophora pistillata],GO:0005604; GO:0005938; GO:0030054; GO:0032154; GO:0005576; GO:0005509; GO:0007049; GO:0051301,
Cluster_1452,evm.TU.chromosome_9.752,-0.1766747173,0.469343494,0.893591063,142,-21.09,2 20,572 595,20,60.00%,70.00%,sp|Q921I9|EXOS4_MOUSE,1.08E-110,Exosome complex component RRP41 OS=Mus musculus GN=Exosc4 PE=1 SV=3,tr|A0A2B4S0L2|A0A2B4S0L2_STYPI,9.73E-147,Exosome complex component RRP41 OS=Stylophora pistillata GN=Exosc4 PE=4 SV=1,ref|XP_020625302.1|,2.87E-177,exosome complex component RRP41-like [Orbicella faveolata],GO:0005737; GO:0000177; GO:0005829; GO:0000178; GO:0045111; GO:0000176; GO:0005730; GO:0005634; GO:0035327; GO:0017091; GO:0051607; GO:0045006; GO:0071044; GO:0000460; GO:0071028; GO:0000956; GO:0034427; GO:0071051; GO:0030307; GO:0031125; GO:0016075; GO:0034475,
Cluster_3889,evm.TU.chromosome_9.752,0.05190898013,0.8328509302,0.9753965288,157,-23.05,2 20,39 61,20,70.00%,85.00%,sp|Q921I9|EXOS4_MOUSE,1.08E-110,Exosome complex component RRP41 OS=Mus musculus GN=Exosc4 PE=1 SV=3,tr|A0A2B4S0L2|A0A2B4S0L2_STYPI,9.73E-147,Exosome complex component RRP41 OS=Stylophora pistillata GN=Exosc4 PE=4 SV=1,ref|XP_020625302.1|,2.87E-177,exosome complex component RRP41-like [Orbicella faveolata],GO:0005737; GO:0000177; GO:0005829; GO:0000178; GO:0045111; GO:0000176; GO:0005730; GO:0005634; GO:0035327; GO:0017091; GO:0051607; GO:0045006; GO:0071044; GO:0000460; GO:0071028; GO:0000956; GO:0034427; GO:0071051; GO:0030307; GO:0031125; GO:0016075; GO:0034475,
