gene_name,GeneOntologyIDs,Term,Annotated,Significant,Expected,Fisher,ontology,mirna,Target,Score,Energy_kcal_mol,Query_start_end,Subject_start_end,Length,Query_Identity,Subject_Identity,prop.sig.genes,Species
LOC122954361,GO:0043025,neuronal cell body,617,72,57.06,5.10E-07,Cellular Components,apul-mir-novel-5,ID=gene-LOC122954361;Dbxref=GeneID:122954361;Name=LOC122954361;gbkey=Gene;gene=LOC122954361;gene_biotype=protein_coding::NW_025322844.1:102015-103015,169,-21.91,2 23,666 690,22,72.73%,81.82%,0.1166936791,Acropora pulchra
LOC122954363,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-5,ID=gene-LOC122954363;Dbxref=GeneID:122954363;Name=LOC122954363;gbkey=Gene;gene=LOC122954363;gene_biotype=protein_coding::NW_025322844.1:151906-152906,177,-27.08,2 23,697 721,22,77.27%,86.36%,0.09978435601,Acropora pulchra
LOC122954363,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-9,ID=gene-LOC122954363;Dbxref=GeneID:122954363;Name=LOC122954363;gbkey=Gene;gene=LOC122954363;gene_biotype=protein_coding::NW_025322844.1:151906-152906,144,-24.54,2 21,131 150,19,63.16%,73.68%,0.09978435601,Acropora pulchra
LOC114951884,GO:0005769,early endosome,442,39,40.88,0.00696,Cellular Components,apul-mir-novel-5,ID=gene-LOC114951884;Dbxref=GeneID:114951884;Name=LOC114951884;gbkey=Gene;gene=LOC114951884;gene_biotype=protein_coding::NW_025322844.1:24314-25314,169,-21.91,2 23,24 48,22,72.73%,81.82%,0.08823529412,Acropora pulchra
LOC114951884,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-5,ID=gene-LOC114951884;Dbxref=GeneID:114951884;Name=LOC114951884;gbkey=Gene;gene=LOC114951884;gene_biotype=protein_coding::NW_025322844.1:24314-25314,169,-21.91,2 23,24 48,22,72.73%,81.82%,0.09978435601,Acropora pulchra
LOC114951884,GO:0030424,axon,763,79,70.57,0.01091,Cellular Components,apul-mir-novel-5,ID=gene-LOC114951884;Dbxref=GeneID:114951884;Name=LOC114951884;gbkey=Gene;gene=LOC114951884;gene_biotype=protein_coding::NW_025322844.1:24314-25314,169,-21.91,2 23,24 48,22,72.73%,81.82%,0.1035386632,Acropora pulchra
LOC114951884,GO:0043025,neuronal cell body,617,72,57.06,5.10E-07,Cellular Components,apul-mir-novel-5,ID=gene-LOC114951884;Dbxref=GeneID:114951884;Name=LOC114951884;gbkey=Gene;gene=LOC114951884;gene_biotype=protein_coding::NW_025322844.1:24314-25314,169,-21.91,2 23,24 48,22,72.73%,81.82%,0.1166936791,Acropora pulchra
LOC114967837,GO:0005794,Golgi apparatus,1354,131,125.23,1.20E-05,Cellular Components,apul-mir-9425,ID=gene-LOC114967837;Dbxref=GeneID:114967837;Name=LOC114967837;gbkey=Gene;gene=LOC114967837;gene_biotype=protein_coding::NW_025322852.1:49491-50491,158,-20.66,2 23,365 386,21,71.43%,80.95%,0.09675036928,Acropora pulchra
LOC114967837,GO:0005794,Golgi apparatus,1354,131,125.23,1.20E-05,Cellular Components,apul-mir-novel-10,ID=gene-LOC114967837;Dbxref=GeneID:114967837;Name=LOC114967837;gbkey=Gene;gene=LOC114967837;gene_biotype=protein_coding::NW_025322852.1:49491-50491,169,-22.05,2 20,732 752,18,83.33%,88.89%,0.09675036928,Acropora pulchra
LOC114967837,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-9425,ID=gene-LOC114967837;Dbxref=GeneID:114967837;Name=LOC114967837;gbkey=Gene;gene=LOC114967837;gene_biotype=protein_coding::NW_025322852.1:49491-50491,158,-20.66,2 23,365 386,21,71.43%,80.95%,0.09978435601,Acropora pulchra
LOC114967837,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-10,ID=gene-LOC114967837;Dbxref=GeneID:114967837;Name=LOC114967837;gbkey=Gene;gene=LOC114967837;gene_biotype=protein_coding::NW_025322852.1:49491-50491,169,-22.05,2 20,732 752,18,83.33%,88.89%,0.09978435601,Acropora pulchra
LOC114967837,GO:0009986,cell surface,729,66,67.42,0.00353,Cellular Components,apul-mir-9425,ID=gene-LOC114967837;Dbxref=GeneID:114967837;Name=LOC114967837;gbkey=Gene;gene=LOC114967837;gene_biotype=protein_coding::NW_025322852.1:49491-50491,158,-20.66,2 23,365 386,21,71.43%,80.95%,0.09053497942,Acropora pulchra
LOC114967837,GO:0009986,cell surface,729,66,67.42,0.00353,Cellular Components,apul-mir-novel-10,ID=gene-LOC114967837;Dbxref=GeneID:114967837;Name=LOC114967837;gbkey=Gene;gene=LOC114967837;gene_biotype=protein_coding::NW_025322852.1:49491-50491,169,-22.05,2 20,732 752,18,83.33%,88.89%,0.09053497942,Acropora pulchra
LOC122954547,GO:0016020,membrane,8148,778,753.59,1.60E-05,Cellular Components,apul-mir-novel-22,ID=gene-LOC122954547;Dbxref=GeneID:122954547;Name=LOC122954547;gbkey=Gene;gene=LOC122954547;gene_biotype=protein_coding::NW_025322875.1:11494-12494,174,-23.43,2 21,116 139,21,80.95%,90.48%,0.09548355425,Acropora pulchra
LOC122954547,GO:0016020,membrane,8148,778,753.59,1.60E-05,Cellular Components,apul-mir-novel-26,ID=gene-LOC122954547;Dbxref=GeneID:122954547;Name=LOC122954547;gbkey=Gene;gene=LOC122954547;gene_biotype=protein_coding::NW_025322875.1:11494-12494,154,-23.15,2 20,711 728,18,77.78%,83.33%,0.09548355425,Acropora pulchra
LOC122954553,GO:0062023,collagen-containing extracellular matrix,598,63,55.31,2.80E-05,Cellular Components,apul-mir-novel-19,"ID=gene-LOC122954553;Dbxref=GeneID:122954553;Name=LOC122954553;end_range=103636,.;gbkey=Gene;gene=LOC122954553;gene_biotype=protein_coding;partial=true::NW_025322876.1:88830-89830",163,-22.34,2 22,580 601,20,75.00%,80.00%,0.1053511706,Acropora pulchra
LOC122954973,GO:0016020,membrane,8148,778,753.59,1.60E-05,Cellular Components,apul-mir-novel-7,ID=gene-LOC122954973;Dbxref=GeneID:122954973;Name=LOC122954973;gbkey=Gene;gene=LOC122954973;gene_biotype=protein_coding::NW_025322932.1:10997-11997,150,-21.73,2 16,531 554,16,75.00%,81.25%,0.09548355425,Acropora pulchra
LOC122954973,GO:0016020,membrane,8148,778,753.59,1.60E-05,Cellular Components,apul-mir-novel-7,ID=gene-LOC122954973;Dbxref=GeneID:122954973;Name=LOC122954973;gbkey=Gene;gene=LOC122954973;gene_biotype=protein_coding::NW_025322932.1:10997-11997,150,-21.73,2 16,531 554,16,75.00%,81.25%,0.09548355425,Acropora pulchra
LOC114952255,GO:0016020,membrane,8148,778,753.59,1.60E-05,Cellular Components,apul-mir-novel-22,"ID=gene-LOC114952255;Dbxref=GeneID:114952255;Name=LOC114952255;end_range=2295,.;gbkey=Gene;gene=LOC114952255;gene_biotype=protein_coding;partial=true;start_range=.,585::NW_025323080.1:2295-2825",162,-21.18,2 21,408 432,22,72.73%,81.82%,0.09548355425,Acropora pulchra
LOC114965694,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-15,ID=gene-LOC114965694;Dbxref=GeneID:114965694;Name=LOC114965694;gbkey=Gene;gene=LOC114965694;gene_biotype=protein_coding::NW_025323102.1:59501-60501,160,-20.38,2 21,222 242,20,80.00%,80.00%,0.09978435601,Acropora pulchra
LOC114965694,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-15,ID=gene-LOC114965694;Dbxref=GeneID:114965694;Name=LOC114965694;gbkey=Gene;gene=LOC114965694;gene_biotype=protein_coding::NW_025323102.1:59501-60501,160,-20.38,2 21,222 242,20,80.00%,80.00%,0.09978435601,Acropora pulchra
LOC114965694,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-15,ID=gene-LOC114965694;Dbxref=GeneID:114965694;Name=LOC114965694;gbkey=Gene;gene=LOC114965694;gene_biotype=protein_coding::NW_025323102.1:59501-60501,160,-20.38,2 21,222 242,20,80.00%,80.00%,0.09978435601,Acropora pulchra
LOC122955313,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-22,ID=gene-LOC122955313;Dbxref=GeneID:122955313;Name=LOC122955313;gbkey=Gene;gene=LOC122955313;gene_biotype=protein_coding::NW_025323102.1:161172-162172,178,-21.89,2 20,204 226,19,89.47%,89.47%,0.09978435601,Acropora pulchra
LOC122955352,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-23,ID=gene-LOC122955352;Dbxref=GeneID:122955352;Name=LOC122955352;gbkey=Gene;gene=LOC122955352;gene_biotype=protein_coding::NW_025323105.1:238586-239586,153,-23.02,2 16,696 716,14,85.71%,85.71%,0.09978435601,Acropora pulchra
LOC122955364,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-14,ID=gene-LOC122955364;Dbxref=GeneID:122955364;Name=LOC122955364;gbkey=Gene;gene=LOC122955364;gene_biotype=protein_coding::NW_025323105.1:157799-158799,148,-22.09,2 15,700 720,13,76.92%,92.31%,0.09978435601,Acropora pulchra
LOC114973280,GO:0005783,endoplasmic reticulum,1440,145,133.18,0.00146,Cellular Components,apul-mir-9425,ID=gene-LOC114973280;Dbxref=GeneID:114973280;Name=LOC114973280;gbkey=Gene;gene=LOC114973280;gene_biotype=protein_coding::NW_025323110.1:132854-133854,175,-21.06,2 23,273 296,22,81.82%,86.36%,0.1006944444,Acropora pulchra
LOC114948107,GO:0005794,Golgi apparatus,1354,131,125.23,1.20E-05,Cellular Components,apul-mir-novel-21,ID=gene-LOC114948107;Dbxref=GeneID:114948107;Name=LOC114948107;gbkey=Gene;gene=LOC114948107;gene_biotype=protein_coding::NW_025323113.1:106477-107477,180,-24.57,2 21,879 900,19,84.21%,89.47%,0.09675036928,Acropora pulchra
LOC114948107,GO:0005794,Golgi apparatus,1354,131,125.23,1.20E-05,Cellular Components,apul-mir-novel-21,ID=gene-LOC114948107;Dbxref=GeneID:114948107;Name=LOC114948107;gbkey=Gene;gene=LOC114948107;gene_biotype=protein_coding::NW_025323113.1:106477-107477,180,-24.57,2 21,879 900,19,84.21%,89.47%,0.09675036928,Acropora pulchra
LOC114968417,GO:0005615,extracellular space,1430,136,132.26,4.50E-05,Cellular Components,apul-mir-novel-19,ID=gene-LOC114968417;Dbxref=GeneID:114968417;Name=LOC114968417;gbkey=Gene;gene=LOC114968417;gene_biotype=protein_coding::NW_025323128.1:103860-104128,162,-24.94,2 22,119 139,20,75.00%,80.00%,0.0951048951,Acropora pulchra
LOC114968417,GO:0062023,collagen-containing extracellular matrix,598,63,55.31,2.80E-05,Cellular Components,apul-mir-novel-19,ID=gene-LOC114968417;Dbxref=GeneID:114968417;Name=LOC114968417;gbkey=Gene;gene=LOC114968417;gene_biotype=protein_coding::NW_025323128.1:103860-104128,162,-24.94,2 22,119 139,20,75.00%,80.00%,0.1053511706,Acropora pulchra
LOC122955860,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-1,ID=gene-LOC122955860;Dbxref=GeneID:122955860;Name=LOC122955860;gbkey=Gene;gene=LOC122955860;gene_biotype=protein_coding::NW_025323136.1:25866-26866,165,-23.8,2 20,441 462,18,83.33%,83.33%,0.09978435601,Acropora pulchra
LOC122955992,GO:0016020,membrane,8148,778,753.59,1.60E-05,Cellular Components,apul-mir-novel-20,ID=gene-LOC122955992;Dbxref=GeneID:122955992;Name=LOC122955992;gbkey=Gene;gene=LOC122955992;gene_biotype=protein_coding::NW_025323151.1:45730-46730,155,-21.38,2 17,558 581,17,76.47%,82.35%,0.09548355425,Acropora pulchra
LOC114950153,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-22,ID=gene-LOC114950153;Dbxref=GeneID:114950153;Name=LOC114950153;gbkey=Gene;gene=LOC114950153;gene_biotype=protein_coding::NW_025323189.1:24780-25780,178,-24.31,2 20,150 172,19,89.47%,89.47%,0.09978435601,Acropora pulchra
LOC114962446,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-25a,ID=gene-LOC114962446;Dbxref=GeneID:114962446;Name=LOC114962446;gbkey=Gene;gene=LOC114962446;gene_biotype=protein_coding::NW_025323246.1:34327-35327,154,-21.49,2 20,708 730,19,73.68%,73.68%,0.09978435601,Acropora pulchra
LOC114962446,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-25b,ID=gene-LOC114962446;Dbxref=GeneID:114962446;Name=LOC114962446;gbkey=Gene;gene=LOC114962446;gene_biotype=protein_coding::NW_025323246.1:34327-35327,154,-21.49,2 20,708 730,19,73.68%,73.68%,0.09978435601,Acropora pulchra
LOC114962446,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-25a,ID=gene-LOC114962446;Dbxref=GeneID:114962446;Name=LOC114962446;gbkey=Gene;gene=LOC114962446;gene_biotype=protein_coding::NW_025323246.1:34327-35327,154,-21.49,2 20,708 730,19,73.68%,73.68%,0.09978435601,Acropora pulchra
LOC114962446,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-25b,ID=gene-LOC114962446;Dbxref=GeneID:114962446;Name=LOC114962446;gbkey=Gene;gene=LOC114962446;gene_biotype=protein_coding::NW_025323246.1:34327-35327,154,-21.49,2 20,708 730,19,73.68%,73.68%,0.09978435601,Acropora pulchra
LOC114973064,GO:0062023,collagen-containing extracellular matrix,598,63,55.31,2.80E-05,Cellular Components,apul-mir-novel-24a,"ID=gene-LOC114973064;Dbxref=GeneID:114973064;Name=LOC114973064;end_range=11135,.;gbkey=Gene;gene=LOC114973064;gene_biotype=protein_coding;partial=true::NW_025323315.1:11135-12135",151,-20.52,2 20,882 902,18,66.67%,72.22%,0.1053511706,Acropora pulchra
LOC114973064,GO:0062023,collagen-containing extracellular matrix,598,63,55.31,2.80E-05,Cellular Components,apul-mir-novel-24b,"ID=gene-LOC114973064;Dbxref=GeneID:114973064;Name=LOC114973064;end_range=11135,.;gbkey=Gene;gene=LOC114973064;gene_biotype=protein_coding;partial=true::NW_025323315.1:11135-12135",151,-20.52,2 20,882 902,18,66.67%,72.22%,0.1053511706,Acropora pulchra
LOC122956560,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-22,ID=gene-LOC122956560;Dbxref=GeneID:122956560;Name=LOC122956560;gbkey=Gene;gene=LOC122956560;gene_biotype=protein_coding::NC_058067.1:11438921-11439921,178,-24.31,2 20,541 563,19,89.47%,89.47%,0.09978435601,Acropora pulchra
LOC114971458,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-26,ID=gene-LOC114971458;Dbxref=GeneID:114971458;Name=LOC114971458;gbkey=Gene;gene=LOC114971458;gene_biotype=protein_coding::NC_058067.1:11052174-11053174,159,-21.21,2 16,433 453,14,78.57%,92.86%,0.09978435601,Acropora pulchra
LOC114948352,GO:0005783,endoplasmic reticulum,1440,145,133.18,0.00146,Cellular Components,apul-mir-novel-5,ID=gene-LOC114948352;Dbxref=GeneID:114948352;Name=LOC114948352;gbkey=Gene;gene=LOC114948352;gene_biotype=protein_coding::NC_058067.1:11839499-11840499,165,-23.1,2 23,758 782,22,72.73%,77.27%,0.1006944444,Acropora pulchra
LOC114966352,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-24a,ID=gene-LOC114966352;Dbxref=GeneID:114966352;Name=LOC114966352;gbkey=Gene;gene=LOC114966352;gene_biotype=protein_coding::NC_058067.1:18059764-18060764,164,-21.01,2 20,715 733,18,77.78%,88.89%,0.09978435601,Acropora pulchra
LOC114966352,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-24b,ID=gene-LOC114966352;Dbxref=GeneID:114966352;Name=LOC114966352;gbkey=Gene;gene=LOC114966352;gene_biotype=protein_coding::NC_058067.1:18059764-18060764,164,-21.01,2 20,715 733,18,77.78%,88.89%,0.09978435601,Acropora pulchra
LOC114966352,GO:0043025,neuronal cell body,617,72,57.06,5.10E-07,Cellular Components,apul-mir-novel-24a,ID=gene-LOC114966352;Dbxref=GeneID:114966352;Name=LOC114966352;gbkey=Gene;gene=LOC114966352;gene_biotype=protein_coding::NC_058067.1:18059764-18060764,164,-21.01,2 20,715 733,18,77.78%,88.89%,0.1166936791,Acropora pulchra
LOC114966352,GO:0043025,neuronal cell body,617,72,57.06,5.10E-07,Cellular Components,apul-mir-novel-24b,ID=gene-LOC114966352;Dbxref=GeneID:114966352;Name=LOC114966352;gbkey=Gene;gene=LOC114966352;gene_biotype=protein_coding::NC_058067.1:18059764-18060764,164,-21.01,2 20,715 733,18,77.78%,88.89%,0.1166936791,Acropora pulchra
LOC122956690,GO:0005615,extracellular space,1430,136,132.26,4.50E-05,Cellular Components,apul-mir-2022,ID=gene-LOC122956690;Dbxref=GeneID:122956690;Name=LOC122956690;gbkey=Gene;gene=LOC122956690;gene_biotype=protein_coding::NC_058067.1:18637358-18638358,147,-23.51,2 12,330 352,10,80.00%,100.00%,0.0951048951,Acropora pulchra
LOC122956739,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-14,ID=gene-LOC122956739;Dbxref=GeneID:122956739;Name=LOC122956739;gbkey=Gene;gene=LOC122956739;gene_biotype=protein_coding::NC_058067.1:29093261-29094261,174,-22.69,2 20,185 207,19,84.21%,89.47%,0.09978435601,Acropora pulchra
LOC122956758,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-21,ID=gene-LOC122956758;Dbxref=GeneID:122956758;Name=LOC122956758;gbkey=Gene;gene=LOC122956758;gene_biotype=protein_coding::NC_058066.1:33116197-33117197,172,-21.72,2 21,194 215,19,78.95%,84.21%,0.09978435601,Acropora pulchra
LOC114976747,GO:0005615,extracellular space,1430,136,132.26,4.50E-05,Cellular Components,apul-mir-novel-5,ID=gene-LOC114976747;Dbxref=GeneID:114976747;Name=LOC114976747;gbkey=Gene;gene=LOC114976747;gene_biotype=protein_coding::NC_058067.1:31040843-31041843,167,-20.03,2 21,883 908,21,71.43%,85.71%,0.0951048951,Acropora pulchra
LOC114956299,GO:0005783,endoplasmic reticulum,1440,145,133.18,0.00146,Cellular Components,apul-mir-novel-6,ID=gene-LOC114956299;Dbxref=GeneID:114956299;Name=LOC114956299;gbkey=Gene;gene=LOC114956299;gene_biotype=protein_coding::NC_058067.1:12861054-12862054,158,-21.26,2 20,564 591,24,66.67%,75.00%,0.1006944444,Acropora pulchra
LOC114956299,GO:0005794,Golgi apparatus,1354,131,125.23,1.20E-05,Cellular Components,apul-mir-novel-6,ID=gene-LOC114956299;Dbxref=GeneID:114956299;Name=LOC114956299;gbkey=Gene;gene=LOC114956299;gene_biotype=protein_coding::NC_058067.1:12861054-12862054,158,-21.26,2 20,564 591,24,66.67%,75.00%,0.09675036928,Acropora pulchra
LOC114956299,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-6,ID=gene-LOC114956299;Dbxref=GeneID:114956299;Name=LOC114956299;gbkey=Gene;gene=LOC114956299;gene_biotype=protein_coding::NC_058067.1:12861054-12862054,158,-21.26,2 20,564 591,24,66.67%,75.00%,0.09978435601,Acropora pulchra
LOC114956299,GO:0009986,cell surface,729,66,67.42,0.00353,Cellular Components,apul-mir-novel-6,ID=gene-LOC114956299;Dbxref=GeneID:114956299;Name=LOC114956299;gbkey=Gene;gene=LOC114956299;gene_biotype=protein_coding::NC_058067.1:12861054-12862054,158,-21.26,2 20,564 591,24,66.67%,75.00%,0.09053497942,Acropora pulchra
LOC122956878,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-22,ID=gene-LOC122956878;Dbxref=GeneID:122956878;Name=LOC122956878;gbkey=Gene;gene=LOC122956878;gene_biotype=protein_coding::NC_058067.1:14225843-14226335,158,-22.14,2 19,399 418,17,82.35%,88.24%,0.09978435601,Acropora pulchra
LOC114964918,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-9425,ID=gene-LOC114964918;Dbxref=GeneID:114964918;Name=LOC114964918;gbkey=Gene;gene=LOC114964918;gene_biotype=protein_coding::NC_058067.1:15949617-15950617,167,-21.27,2 21,165 191,22,77.27%,77.27%,0.09978435601,Acropora pulchra
LOC114964918,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-9425,ID=gene-LOC114964918;Dbxref=GeneID:114964918;Name=LOC114964918;gbkey=Gene;gene=LOC114964918;gene_biotype=protein_coding::NC_058067.1:15949617-15950617,167,-21.27,2 21,165 191,22,77.27%,77.27%,0.09978435601,Acropora pulchra
LOC114966395,GO:0016020,membrane,8148,778,753.59,1.60E-05,Cellular Components,apul-mir-novel-10,ID=gene-LOC114966395;Dbxref=GeneID:114966395;Name=LOC114966395;gbkey=Gene;gene=LOC114966395;gene_biotype=protein_coding::NC_058067.1:17649362-17650362,167,-20.92,2 21,305 327,20,75.00%,85.00%,0.09548355425,Acropora pulchra
LOC114966395,GO:0016020,membrane,8148,778,753.59,1.60E-05,Cellular Components,apul-mir-novel-10,ID=gene-LOC114966395;Dbxref=GeneID:114966395;Name=LOC114966395;gbkey=Gene;gene=LOC114966395;gene_biotype=protein_coding::NC_058067.1:17649362-17650362,175,-22.27,2 21,433 455,20,80.00%,90.00%,0.09548355425,Acropora pulchra
LOC122956961,GO:0005615,extracellular space,1430,136,132.26,4.50E-05,Cellular Components,apul-mir-2022,ID=gene-LOC122956961;Dbxref=GeneID:122956961;Name=LOC122956961;gbkey=Gene;gene=LOC122956961;gene_biotype=protein_coding::NC_058067.1:18595071-18596071,147,-21.29,2 12,651 673,10,80.00%,100.00%,0.0951048951,Acropora pulchra
LOC122956961,GO:0005615,extracellular space,1430,136,132.26,4.50E-05,Cellular Components,apul-mir-2022,ID=gene-LOC122956961;Dbxref=GeneID:122956961;Name=LOC122956961;gbkey=Gene;gene=LOC122956961;gene_biotype=protein_coding::NC_058067.1:18595071-18596071,160,-24.17,2 22,798 824,24,62.50%,79.17%,0.0951048951,Acropora pulchra
LOC114958864,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-21,ID=gene-LOC114958864;Dbxref=GeneID:114958864;Name=LOC114958864;gbkey=Gene;gene=LOC114958864;gene_biotype=protein_coding::NC_058066.1:9727405-9728405,170,-24.58,2 20,289 311,19,84.21%,84.21%,0.09978435601,Acropora pulchra
LOC122957012,GO:0005769,early endosome,442,39,40.88,0.00696,Cellular Components,apul-mir-novel-7,ID=gene-LOC122957012;Dbxref=GeneID:122957012;Name=LOC122957012;gbkey=Gene;gene=LOC122957012;gene_biotype=protein_coding::NC_058066.1:13091921-13092921,148,-23.71,2 17,556 577,15,73.33%,73.33%,0.08823529412,Acropora pulchra
LOC122957014,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-8a,ID=gene-LOC122957014;Dbxref=GeneID:122957014;Name=LOC122957014;gbkey=Gene;gene=LOC122957014;gene_biotype=protein_coding::NC_058066.1:11929701-11930701,162,-22.54,2 21,146 170,22,77.27%,77.27%,0.09978435601,Acropora pulchra
LOC122957014,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-8b,ID=gene-LOC122957014;Dbxref=GeneID:122957014;Name=LOC122957014;gbkey=Gene;gene=LOC122957014;gene_biotype=protein_coding::NC_058066.1:11929701-11930701,162,-22.54,2 21,146 170,22,77.27%,77.27%,0.09978435601,Acropora pulchra
LOC122957014,GO:0016020,membrane,8148,778,753.59,1.60E-05,Cellular Components,apul-mir-novel-8a,ID=gene-LOC122957014;Dbxref=GeneID:122957014;Name=LOC122957014;gbkey=Gene;gene=LOC122957014;gene_biotype=protein_coding::NC_058066.1:11929701-11930701,162,-22.54,2 21,146 170,22,77.27%,77.27%,0.09548355425,Acropora pulchra
LOC122957014,GO:0016020,membrane,8148,778,753.59,1.60E-05,Cellular Components,apul-mir-novel-8b,ID=gene-LOC122957014;Dbxref=GeneID:122957014;Name=LOC122957014;gbkey=Gene;gene=LOC122957014;gene_biotype=protein_coding::NC_058066.1:11929701-11930701,162,-22.54,2 21,146 170,22,77.27%,77.27%,0.09548355425,Acropora pulchra
LOC122957050,GO:0005783,endoplasmic reticulum,1440,145,133.18,0.00146,Cellular Components,apul-mir-novel-9,ID=gene-LOC122957050;Dbxref=GeneID:122957050;Name=LOC122957050;gbkey=Gene;gene=LOC122957050;gene_biotype=protein_coding::NC_058067.1:23446675-23447675,174,-20.97,2 22,777 797,20,85.00%,85.00%,0.1006944444,Acropora pulchra
LOC122957050,GO:0005794,Golgi apparatus,1354,131,125.23,1.20E-05,Cellular Components,apul-mir-novel-9,ID=gene-LOC122957050;Dbxref=GeneID:122957050;Name=LOC122957050;gbkey=Gene;gene=LOC122957050;gene_biotype=protein_coding::NC_058067.1:23446675-23447675,174,-20.97,2 22,777 797,20,85.00%,85.00%,0.09675036928,Acropora pulchra
LOC122957109,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-9,ID=gene-LOC122957109;Dbxref=GeneID:122957109;Name=LOC122957109;gbkey=Gene;gene=LOC122957109;gene_biotype=protein_coding::NC_058067.1:25251727-25252727,170,-25.55,2 19,458 480,17,76.47%,94.12%,0.09978435601,Acropora pulchra
LOC122957122,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-8a,ID=gene-LOC122957122;Dbxref=GeneID:122957122;Name=LOC122957122;gbkey=Gene;gene=LOC122957122;gene_biotype=protein_coding::NC_058067.1:25510939-25511939,164,-23.99,2 21,868 889,19,68.42%,84.21%,0.09978435601,Acropora pulchra
LOC122957122,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-8b,ID=gene-LOC122957122;Dbxref=GeneID:122957122;Name=LOC122957122;gbkey=Gene;gene=LOC122957122;gene_biotype=protein_coding::NC_058067.1:25510939-25511939,164,-23.99,2 21,868 889,19,68.42%,84.21%,0.09978435601,Acropora pulchra
LOC122957122,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-9,ID=gene-LOC122957122;Dbxref=GeneID:122957122;Name=LOC122957122;gbkey=Gene;gene=LOC122957122;gene_biotype=protein_coding::NC_058067.1:25510939-25511939,170,-23.06,2 21,180 201,19,78.95%,89.47%,0.09978435601,Acropora pulchra
LOC122957122,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-8a,ID=gene-LOC122957122;Dbxref=GeneID:122957122;Name=LOC122957122;gbkey=Gene;gene=LOC122957122;gene_biotype=protein_coding::NC_058067.1:25510939-25511939,164,-23.99,2 21,868 889,19,68.42%,84.21%,0.09978435601,Acropora pulchra
LOC122957122,GO:0005886,plasma membrane,5101,509,471.78,7.40E-18,Cellular Components,apul-mir-novel-8b,ID=gene-LOC122957122;Dbxref=GeneID:122957122;Name=LOC122957122;gbkey=Gene;gene=LOC122957122;gene_biotype=protein_coding::NC_058067.1:25510939-25511939,164,-23.99,2 21,868 889,19,68.42%,84.21%,0.09978435601,Acropora pulchra
